codigo;id_mun;ano;valor
1503903;62;2014;233131.70
1503903;62;2015;553008.70
1503903;62;2016;1091779.29
1503903;62;2017;1446908.00
1503903;62;2018;1537727.00
1503903;62;2019;1382957.00
1503903;62;2020;1872514.00
1503903;62;2021;2251856.00
1503903;62;2022;2451805.00
1503903;62;2023;2641799.00
1503903;62;2024;3614982.00
1504000;63;2014;194994.80
1504000;63;2015;445380.90
1504000;63;2016;920096.70
1504000;63;2017;983352.19
1504000;63;2018;878513.79
1504000;63;2019;948825.20
1504000;63;2020;1496789.10
1504000;63;2021;1811818.00
1504000;63;2022;2472450.00
1504000;63;2023;2790254.00
1504000;63;2024;3091009.00
1504059;64;2014;149778.90
1504059;64;2015;304744.10
1504059;64;2016;486804.30
1504059;64;2017;977222.09
1504059;64;2018;1057676.49
1504059;64;2019;1246589.91
1504059;64;2020;1309796.30
1504059;64;2021;1519943.00
1504059;64;2022;1550741.00
1504059;64;2023;1599241.00
1504059;64;2024;1805709.00
1504109;65;2014;114356.81
1504109;65;2015;30128.94
1504109;65;2016;73553.00
1504109;65;2017;690876.41
1504109;65;2018;656669.00
1504109;65;2019;831679.90
1504109;65;2020;782149.60
1504109;65;2021;1262696.00
1504109;65;2022;1867526.00
1504109;65;2023;1705025.00
1504109;65;2024;2047490.00
1504208;66;2014;393055.00
1504208;66;2015;837535.60
1504208;66;2016;1228775.91
1504208;66;2017;1737871.00
1504208;66;2018;1871252.00
1504208;66;2019;2098266.00
1504208;66;2020;2352199.00
1504208;66;2021;2363367.00
1504208;66;2022;2795904.00
1504208;66;2023;2617568.00
1504208;66;2024;2955398.00
1504307;67;2014;172311.20
1504307;67;2015;394318.60
1504307;67;2016;611219.90
1504307;67;2017;959455.10
1504307;67;2018;1141436.10
1504307;67;2019;1238026.30
1504307;67;2020;1279038.30
1504307;67;2021;1750691.00
1504307;67;2022;1921280.00
1504307;67;2023;1695477.00
1504307;67;2024;1969377.00
1504406;68;2014;126654.42
1504406;68;2015;300019.70
1504406;68;2016;514525.99
1504406;68;2017;687979.60
1504406;68;2018;1113433.30
1504406;68;2019;1241647.60
1504406;68;2020;1287325.30
1504406;68;2021;1811668.00
1504406;68;2022;1802457.00
1504406;68;2023;1555625.00
1504406;68;2024;1991125.00
1504422;69;2014;184915.00
1504422;69;2015;503781.20
1504422;69;2016;605678.00
1504422;69;2017;977594.61
1504422;69;2018;1101264.40
1504422;69;2019;1230296.10
1504422;69;2020;1267724.90
1504422;69;2021;1681650.00
1504422;69;2022;1795945.00
1504422;69;2023;1978804.00
1504422;69;2024;2079144.00
1504455;70;2014;325103.81
1504455;70;2015;480067.20
1504455;70;2016;1113173.30
1504455;70;2017;683040.60
1504455;70;2018;1505350.00
1504455;70;2019;1666234.00
1504455;70;2020;1831252.00
1504455;70;2021;2298510.00
1504455;70;2022;2410569.00
1504455;70;2023;2436998.00
1504455;70;2024;3037373.00
1504505;71;2014;169151.70
1504505;71;2015;622007.40
1504505;71;2016;948744.30
1504505;71;2017;1538887.00
1504505;71;2018;1348641.50
1504505;71;2019;1416625.00
1504505;71;2020;1614757.30
1504505;71;2021;2073900.00
1504505;71;2022;2676814.00
1504505;71;2023;2952350.00
1504505;71;2024;3381842.00
1504604;72;2014;136388.91
1504604;72;2015;337234.50
1504604;72;2016;546275.40
1504604;72;2017;699630.80
1504604;72;2018;648026.80
1504604;72;2019;857448.70
1504604;72;2020;1333538.50
1504604;72;2021;1821194.00
1504604;72;2022;1999614.00
1504604;72;2023;2059462.00
1504604;72;2024;2420119.00
1504703;73;2014;252071.10
1504703;73;2015;593359.70
1504703;73;2016;896698.70
1504703;73;2017;1230929.90
1504703;73;2018;1535806.00
1504703;73;2019;1710507.00
1504703;73;2020;1939447.00
1504703;73;2021;2372587.00
1504703;73;2022;2137405.00
1504703;73;2023;2126253.00
1504703;73;2024;2435225.00
1504752;74;2014;176980.60
1504752;74;2015;365720.90
1504752;74;2016;523902.50
1504752;74;2017;479115.10
1504752;74;2018;736621.11
1504752;74;2019;1072345.00
1504752;74;2020;1749537.00
1504752;74;2021;2048386.00
1504752;74;2022;2084019.00
1504752;74;2023;2638609.00
1504752;74;2024;2909946.00
1504802;75;2014;376823.10
1504802;75;2015;982597.20
1504802;75;2016;1480850.00
1504802;75;2017;1230929.90
1504802;75;2018;1471544.20
1504802;75;2019;1563821.00
1504802;75;2020;1696611.00
1504802;75;2021;2248488.00
1504802;75;2022;2656951.00
1504802;75;2023;2792981.00
1504802;75;2024;3730534.00
1504901;76;2014;300982.40
1504901;76;2015;660220.00
1504901;76;2016;1091151.70
1504901;76;2017;1529291.00
1504901;76;2018;1360842.20
1504901;76;2019;1343902.70
1504901;76;2020;1495938.10
1504901;76;2021;1962662.00
1504901;76;2022;2958918.00
1504901;76;2023;3170262.00
1504901;76;2024;3716091.00
1504950;77;2014;599475.70
1504950;77;2015;1254001.70
1504950;77;2016;1900106.00
1504950;77;2017;738614.39
1504950;77;2018;739552.70
1504950;77;2019;887939.30
1504950;77;2020;1359858.10
1504950;77;2021;1823714.00
1504950;77;2022;2502670.00
1504950;77;2023;2437828.00
1504950;77;2024;2898044.00
1504976;78;2014;197423.00
1504976;78;2015;419612.40
1504976;78;2016;599332.21
1504976;78;2017;1230927.70
1504976;78;2018;1137678.80
1504976;78;2019;1333283.80
1504976;78;2020;1455283.80
1504976;78;2021;1634474.00
1504976;78;2022;1737805.00
1504976;78;2023;2270102.00
1504976;78;2024;2507525.00
1505007;79;2014;88253.98
1505007;79;2015;186392.80
1505007;79;2016;233643.40
1505007;79;2017;714014.20
1505007;79;2018;628551.60
1505007;79;2019;859735.19
1505007;79;2020;835753.00
1505007;79;2021;1090622.09
1505007;79;2022;1530512.00
1505007;79;2023;1344059.60
1505007;79;2024;1562304.00
1505031;80;2014;514820.50
1505031;80;2015;863894.89
1505031;80;2016;1246620.00
1505031;80;2017;2009718.00
1505031;80;2018;1984799.00
1505031;80;2019;1937818.00
1505031;80;2020;2342201.00
1505031;80;2021;2764437.00
1505031;80;2022;3527885.00
1505031;80;2023;3455170.00
1505031;80;2024;3834792.00
1505064;81;2014;361856.60
1505064;81;2015;801608.09
1505064;81;2016;1236912.49
1505064;81;2017;1667029.00
1505064;81;2018;1811258.00
1505064;81;2019;2074028.00
1505064;81;2020;2284263.00
1505064;81;2021;2455547.00
1505064;81;2022;2688891.00
1505064;81;2023;2350501.00
1505064;81;2024;2621872.00
1505106;82;2014;618831.10
1505106;82;2015;1344809.00
1505106;82;2016;1630708.00
1505106;82;2017;1568515.00
1505106;82;2018;1729954.00
1505106;82;2019;1618982.00
1505106;82;2020;1802428.00
1505106;82;2021;2350176.00
1505106;82;2022;3041228.00
1505106;82;2023;3193527.00
1505106;82;2024;3726102.00
1505205;83;2014;190825.70
1505205;83;2015;446124.50
1505205;83;2016;734454.60
1505205;83;2017;658486.60
1505205;83;2018;1259634.61
1505205;83;2019;1297258.30
1505205;83;2020;1408141.80
1505205;83;2021;1941613.00
1505205;83;2022;2289672.00
1505205;83;2023;2404690.00
1505205;83;2024;2770461.00
1505304;84;2014;650170.40
1505304;84;2015;1387531.00
1505304;84;2016;1995531.00
1505304;84;2017;2074247.00
1505304;84;2018;2076153.00
1505304;84;2019;1978558.00
1505304;84;2020;1992545.00
1505304;84;2021;3017845.00
1505304;84;2022;3308075.00
1505304;84;2023;3811625.00
1505304;84;2024;4344908.00
1505403;85;2014;93737.13
1505403;85;2015;234710.60
1505403;85;2016;351297.20
1505403;85;2017;990875.30
1505403;85;2018;1077045.19
1505403;85;2019;1269219.00
1505403;85;2020;1340886.90
1505403;85;2021;1586244.00
1505403;85;2022;1636222.00
1505403;85;2023;1443087.80
1505403;85;2024;1660941.00
1505437;86;2014;754633.61
1505437;86;2015;1595883.00
1505437;86;2016;1981197.00
1505437;86;2017;1451972.00
1505437;86;2018;1410270.20
1505437;86;2019;1418458.00
1505437;86;2020;1482601.60
1505437;86;2021;2168686.00
1505437;86;2022;2970424.00
1505437;86;2023;3643084.00
1505437;86;2024;4234762.00
